time,ecg_value
0.0,496
0.001,496
0.002,497
0.003,498
0.004,498
0.005,499
0.006,499
0.007,499
0.008,499
0.009,500
0.01,500
0.011,499
0.012,499
0.013,499
0.014,499
0.015,499
0.016,499
0.017,500
0.018,500
0.019,499
0.02,499
0.021,499
0.022,499
0.023,499
0.024,499
0.025,499
0.026,500
0.027,499
0.028,499
0.029,499
0.03,499
0.031,499
0.032,499
0.033,499
0.034,500
0.035,501
0.036,502
0.037,502
0.038,502
0.039,501
0.04,502
0.041,502
0.042,502
0.043,503
0.044,504
0.045,504
0.046,505
0.047,505
0.048,506
0.049,506
0.05,506
0.051,507
0.052,507
0.053,508
0.054,508
0.055,508
0.056,509
0.057,510
0.058,511
0.059,511
0.06,511
0.061,511
0.062,512
0.063,513
0.064,514
0.065,515
0.066,514
0.067,515
0.068,515
0.069,515
0.07,515
0.071,515
0.072,515
0.073,516
0.074,516
0.075,517
0.076,517
0.077,517
0.078,518
0.079,518
0.08,518
0.081,518
0.082,519
0.083,519
0.084,520
0.085,520
0.086,520
0.087,520
0.088,520
0.089,520
0.09,519
0.091,519
0.092,520
0.093,521
0.094,521
0.095,522
0.096,523
0.097,523
0.098,523
0.099,523
0.1,524
0.101,524
0.102,524
0.103,524
0.104,524
0.105,524
0.106,525
0.107,526
0.108,527
0.109,527
0.11,527
0.111,528
0.112,528
0.113,529
0.114,530
0.115,529
0.116,530
0.117,531
0.118,531
0.119,531
0.12,531
0.121,532
0.122,533
0.123,534
0.124,535
0.125,535
0.126,536
0.127,536
0.128,536
0.129,536
0.13,536
0.131,536
0.132,536
0.133,537
0.134,536
0.135,536
0.136,536
0.137,536
0.138,536
0.139,536
0.14,536
0.141,537
0.142,539
0.143,539
0.144,539
0.145,539
0.146,539
0.147,539
0.148,539
0.149,539
0.15,538
0.151,538
0.152,538
0.153,538
0.154,538
0.155,538
0.156,537
0.157,537
0.158,537
0.159,537
0.16,535
0.161,534
0.162,533
0.163,532
0.164,532
0.165,531
0.166,531
0.167,529
0.168,528
0.169,526
0.17,525
0.171,524
0.172,523
0.173,521
0.174,519
0.175,518
0.176,516
0.177,514
0.178,512
0.179,510
0.18,508
0.181,506
0.182,504
0.183,503
0.184,502
0.185,500
0.186,498
0.187,497
0.188,495
0.189,494
0.19,492
0.191,491
0.192,489
0.193,487
0.194,487
0.195,485
0.196,483
0.197,482
0.198,481
0.199,480
0.2,479
0.201,478
0.202,478
0.203,477
0.204,477
0.205,476
0.206,476
0.207,476
0.208,475
0.209,475
0.21,474
0.211,473
0.212,473
0.213,473
0.214,472
0.215,473
0.216,472
0.217,472
0.218,472
0.219,471
0.22,471
0.221,471
0.222,470
0.223,470
0.224,470
0.225,470
0.226,471
0.227,471
0.228,471
0.229,471
0.23,471
0.231,471
0.232,471
0.233,472
0.234,472
0.235,473
0.236,473
0.237,474
0.238,475
0.239,475
0.24,475
0.241,475
0.242,476
0.243,475
0.244,476
0.245,476
0.246,476
0.247,477
0.248,478
0.249,478
0.25,477
0.251,477
0.252,478
0.253,478
0.254,478
0.255,479
0.256,479
0.257,480
0.258,480
0.259,480
0.26,480
0.261,480
0.262,480
0.263,480
0.264,481
0.265,482
0.266,482
0.267,483
0.268,483
0.269,484
0.27,485
0.271,487
0.272,487
0.273,488
0.274,488
0.275,488
0.276,489
0.277,489
0.278,489
0.279,489
0.28,490
0.281,491
0.282,491
0.283,491
0.284,491
0.285,491
0.286,492
0.287,492
0.288,493
0.289,494
0.29,495
0.291,496
0.292,496
0.293,497
0.294,497
0.295,497
0.296,498
0.297,499
0.298,500
0.299,500
0.3,501
0.301,501
0.302,501
0.303,502
0.304,502
0.305,502
0.306,501
0.307,502
0.308,502
0.309,501
0.31,501
0.311,501
0.312,502
0.313,500
0.314,501
0.315,502
0.316,501
0.317,501
0.318,500
0.319,500
0.32,500
0.321,500
0.322,501
0.323,501
0.324,502
0.325,501
0.326,501
0.327,502
0.328,502
0.329,502
0.33,502
0.331,503
0.332,503
0.333,503
0.334,503
0.335,504
0.336,504
0.337,505
0.338,505
0.339,506
0.34,506
0.341,505
0.342,505
0.343,506
0.344,507
0.345,507
0.346,507
0.347,507
0.348,507
0.349,508
0.35,508
0.351,508
0.352,508
0.353,508
0.354,508
0.355,508
0.356,507
0.357,507
0.358,507
0.359,507
0.36,506
0.361,506
0.362,506
0.363,506
0.364,507
0.365,507
0.366,508
0.367,507
0.368,507
0.369,507
0.37,508
0.371,508
0.372,507
0.373,507
0.374,507
0.375,507
0.376,507
0.377,507
0.378,507
0.379,507
0.38,507
0.381,508
0.382,508
0.383,508
0.384,509
0.385,509
0.386,510
0.387,510
0.388,510
0.389,509
0.39,509
0.391,510
0.392,510
0.393,509
0.394,509
0.395,509
0.396,508
0.397,508
0.398,508
0.399,508
0.4,508
0.401,507
0.402,507
0.403,507
0.404,507
0.405,507
0.406,508
0.407,508
0.408,507
0.409,507
0.41,507
0.411,507
0.412,507
0.413,507
0.414,507
0.415,508
0.416,508
0.417,508
0.418,509
0.419,508
0.42,508
0.421,508
0.422,509
0.423,509
0.424,510
0.425,510
0.426,511
0.427,511
0.428,512
0.429,511
0.43,510
0.431,511
0.432,512
0.433,511
0.434,511
0.435,511
0.436,511
0.437,511
0.438,511
0.439,510
0.44,509
0.441,510
0.442,510
0.443,510
0.444,510
0.445,510
0.446,510
0.447,510
0.448,510
0.449,510
0.45,510
0.451,510
0.452,510
0.453,510
0.454,511
0.455,511
0.456,511
0.457,511
0.458,511
0.459,511
0.46,511
0.461,511
0.462,511
0.463,512
0.464,512
0.465,513
0.466,514
0.467,514
0.468,514
0.469,514
0.47,515
0.471,515
0.472,515
0.473,515
0.474,515
0.475,516
0.476,516
0.477,517
0.478,516
0.479,517
0.48,517
0.481,518
0.482,518
0.483,519
0.484,520
0.485,520
0.486,520
0.487,520
0.488,521
0.489,523
0.49,523
0.491,525
0.492,525
0.493,525
0.494,525
0.495,525
0.496,524
0.497,524
0.498,523
0.499,523
0.5,523
0.501,523
0.502,523
0.503,524
0.504,524
0.505,525
0.506,525
0.507,526
0.508,527
0.509,527
0.51,527
0.511,528
0.512,529
0.513,530
0.514,531
0.515,532
0.516,532
0.517,533
0.518,533
0.519,533
0.52,532
0.521,531
0.522,531
0.523,531
0.524,530
0.525,529
0.526,528
0.527,527
0.528,526
0.529,525
0.53,523
0.531,523
0.532,523
0.533,522
0.534,522
0.535,521
0.536,522
0.537,522
0.538,521
0.539,521
0.54,521
0.541,520
0.542,519
0.543,518
0.544,518
0.545,517
0.546,516
0.547,515
0.548,514
0.549,513
0.55,512
0.551,512
0.552,511
0.553,510
0.554,509
0.555,508
0.556,507
0.557,505
0.558,504
0.559,503
0.56,503
0.561,501
0.562,500
0.563,500
0.564,500
0.565,500
0.566,500
0.567,499
0.568,499
0.569,499
0.57,498
0.571,498
0.572,499
0.573,499
0.574,499
0.575,500
0.576,500
0.577,501
0.578,501
0.579,501
0.58,502
0.581,501
0.582,501
0.583,501
0.584,501
0.585,501
0.586,502
0.587,502
0.588,502
0.589,502
0.59,502
0.591,502
0.592,503
0.593,503
0.594,504
0.595,504
0.596,504
0.597,505
0.598,505
0.599,505
0.6,505
0.601,505
0.602,505
0.603,505
0.604,505
0.605,505
0.606,506
0.607,506
0.608,505
0.609,506
0.61,506
0.611,507
0.612,507
0.613,507
0.614,506
0.615,505
0.616,505
0.617,505
0.618,506
0.619,506
0.62,506
0.621,507
0.622,507
0.623,507
0.624,508
0.625,508
0.626,508
0.627,508
0.628,508
0.629,508
0.63,509
0.631,509
0.632,509
0.633,509
0.634,510
0.635,509
0.636,509
0.637,508
0.638,507
0.639,506
0.64,505
0.641,505
0.642,504
0.643,504
0.644,505
0.645,507
0.646,511
0.647,514
0.648,518
0.649,522
0.65,527
0.651,532
0.652,537
0.653,543
0.654,550
0.655,557
0.656,566
0.657,577
0.658,588
0.659,601
0.66,612
0.661,624
0.662,635
0.663,644
0.664,654
0.665,662
0.666,671
0.667,677
0.668,682
0.669,684
0.67,683
0.671,683
0.672,679
0.673,674
0.674,664
0.675,653
0.676,638
0.677,623
